"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"강남구","2018-07-26 09:00","0.004","0.3","0.015","0.017","24","15",127.0473248,37.5172363
"강남구","2018-07-25 12:00","0.005","0.3","0.027","0.016","32","21",127.0473248,37.5172363
"강남구","2018-07-25 19:00","0.006","0.3","0.033","0.017","27","21",127.0473248,37.5172363
"강남구","2018-07-25 20:00","0.005","0.3","0.026","0.017","26","18",127.0473248,37.5172363
"강남구","2018-07-26 04:00","0.005","0.3","0.012","0.012","26","17",127.0473248,37.5172363
"강남구","2018-07-25 21:00","0.006","0.4","0.016","0.026","23","15",127.0473248,37.5172363
"강남구","2018-07-25 14:00","0.005","0.3","0.041","0.015","25","19",127.0473248,37.5172363
"강남구","2018-07-25 15:00","0.004","0.3","0.044","0.017","28","19",127.0473248,37.5172363
"강남구","2018-07-25 23:00","0.007","0.3","0.007","0.031","33","17",127.0473248,37.5172363
"강남구","2018-07-25 16:00","0.007","0.3","0.040","0.016","34","26",127.0473248,37.5172363
"강남구","2018-07-26 07:00","0.006","0.3","0.012","0.013","27","18",127.0473248,37.5172363
"강남구","2018-07-25 10:00","0.005","0.3","0.020","0.017","28","18",127.0473248,37.5172363
"강남구","2018-07-25 18:00","0.005","0.3","0.036","0.019","31","21",127.0473248,37.5172363
"강남구","2018-07-25 11:00","0.005","0.3","0.024","0.016","29","18",127.0473248,37.5172363
"강남구","2018-07-26 02:00","0.005","0.3","0.011","0.014","22","13",127.0473248,37.5172363
"강남구","2018-07-25 13:00","0.005","0.3","0.032","0.016","32","20",127.0473248,37.5172363
"강남구","2018-07-26 08:00","0.005","0.3","0.011","0.016","24","16",127.0473248,37.5172363
"강남구","2018-07-26 06:00","0.005","0.3","0.018","0.010","26","17",127.0473248,37.5172363
"강남구","2018-07-26 05:00","0.006","0.3","0.015","0.011","25","18",127.0473248,37.5172363
"강남구","2018-07-26 03:00","0.005","0.3","0.012","0.013","27","17",127.0473248,37.5172363
"강남구","2018-07-26 01:00","0.006","0.3","0.007","0.024","27","14",127.0473248,37.5172363
"강남구","2018-07-25 24:00","0.006","0.3","0.004","0.029","30","17",127.0473248,37.5172363
"강남구","2018-07-25 22:00","0.005","0.3","0.011","0.030","29","17",127.0473248,37.5172363
"강남구","2018-07-25 17:00","0.004","0.3","0.038","0.019","34","25",127.0473248,37.5172363
"강동구","2018-07-25 12:00","0.003","0.3","0.029","0.013","35","21",127.123762,37.5301251
"강동구","2018-07-25 21:00","0.004","0.3","0.022","0.022","28","24",127.123762,37.5301251
"강동구","2018-07-25 16:00","0.004","0.3","0.047","0.014","38","22",127.123762,37.5301251
"강동구","2018-07-26 04:00","0.003","0.3","0.007","0.020","35","17",127.123762,37.5301251
"강동구","2018-07-25 11:00","0.004","0.3","0.024","0.014","37","19",127.123762,37.5301251
"강동구","2018-07-26 02:00","0.004","0.3","0.010","0.019","36","18",127.123762,37.5301251
"강동구","2018-07-26 03:00","0.004","0.3","0.009","0.019","35","18",127.123762,37.5301251
"강동구","2018-07-25 20:00","0.003","0.3","0.026","0.023","36","21",127.123762,37.5301251
"강동구","2018-07-26 06:00","0.004","0.3","0.006","0.020","42","21",127.123762,37.5301251
"강동구","2018-07-25 13:00","0.003","0.3","0.035","0.012","35","22",127.123762,37.5301251
"강동구","2018-07-25 22:00","0.003","0.4","0.010","0.033","40","19",127.123762,37.5301251
"강동구","2018-07-25 23:00","0.004","0.4","0.006","0.033","50","20",127.123762,37.5301251
"강동구","2018-07-26 01:00","0.004","0.3","0.004","0.029","46","19",127.123762,37.5301251
"강동구","2018-07-26 05:00","0.004","0.3","0.008","0.019","37","20",127.123762,37.5301251
"강동구","2018-07-25 17:00","0.003","0.3","0.047","0.017","39","24",127.123762,37.5301251
"강동구","2018-07-25 18:00","0.003","0.3","0.040","0.018","43","24",127.123762,37.5301251
"강동구","2018-07-25 15:00","0.004","0.3","0.044","0.014","31","25",127.123762,37.5301251
"강동구","2018-07-26 09:00","0.003","0.4","0.013","0.017","38","20",127.123762,37.5301251
"강동구","2018-07-25 19:00","0.003","0.3","0.037","0.017","41","22",127.123762,37.5301251
