,title,pubDate,link,description
1,"[가상화폐 뉴스] 07월 24일 00시 00분 <b>비트코인</b>(2.72%), <b>비트코인</b> 골드(2.52%...","Tue, 24 Jul 2018 00:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000664209,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 230,000원(2.72%) 상승한 8... "
2,"01시 기준, 가상화폐(암호화폐) <b>비트코인</b> 874만원대(0.53%), 이더리움 52만원...","Tue, 24 Jul 2018 01:11:00 +0900",http://www.nbnnews.co.kr/news/articleView.html?idxno=157393,"<b>비트코인</b>은 업비트에서는 55,000원(0.63%) 상승한 873만원대에 거래되고 있고, 빗썸에서는 71,000원(0.82%) 상승한 873만원대에 거래되고 있으며, 코인원에서는 46,000원(0.53%) 상승한 874만원대에 거래되고 있다. 그리고... "
3,“<b>비트코인</b> 다음달 1만달러 돌파할 것”-포브스,"Tue, 24 Jul 2018 08:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0003498363,"다음 <b>비트코인</b> 빅랠리가 코 앞일 수 있다는 제목 - 포브스 갈무리  지난 7거래일 만에 20% 급등한 <b>비트코인</b>이 다음달 1만 달러를 돌파할 것이며, 연내 2만 달러까지 랠리할 수도 있다고 미국의 경제전문 잡지인... "
4,[암호화폐 시황] <b>비트코인</b> 0.18%↑ <b>비트코인</b>캐시 0.11%↑ <b>비트코인</b>골드 0% 이...,"Tue, 24 Jul 2018 00:32:00 +0900",http://www.thebigdata.co.kr/view.php?ud=201807240030013694edd305dac3_23,코인원 암호화폐(가상화폐) 거래소 [빅데이터뉴스 김기태 기자] 암호화폐(가상화폐) <b>비트코인</b>이 한시간(23일 23시 30분)전 대비 하락세를 보이고 있다. 국내 암호화폐(가상화폐) 거래소인 코인원에 따르면... 
5,"[아침시황]<b>비트코인</b> 7,716달러 '다시 상승'...연내 2만달러 전망 재등장","Tue, 24 Jul 2018 08:55:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003355572,/자료=코인원 [서울경제 디센터] 주요 20개국(G20)의 재무장관·중앙은행총재 회의 이후 급락하던 <b>비트코인</b>의 가격이 다시 오르고 있다. 포브스는 다음달 중 <b>비트코인</b> 가격이 1만달러를 돌파할 수 도 있다는... 
6,<b>비트코인</b> ETF 출시 기대감에 한주새 23% 급등…다음달 1만 달러 돌파하나?,"Tue, 24 Jul 2018 09:34:00 +0900",http://www.ekn.kr/news/article.html?no=376182,"지난 7거래일 만에 20% 급등한 <b>비트코인</b>이 다음달 1만 달러를 돌파할 것이며, 연내 2만 달러까지 랠리할 수도 있다고 미국의 경제전문 잡지인 포브스가 23일(현지시간) 보도했다. 포브스는 최근 <b>비트코인</b>은 7거래일... "
7,"가상화폐(암호화폐) 주요 종목 상승세, 07월 24일 11시 기준 <b>비트코인</b>은 79,0...","Tue, 24 Jul 2018 11:16:00 +0900",http://www.sisamagazine.co.kr/news/articleView.html?idxno=135950,"<b>비트코인</b>은 빗썸에서는 63,000원(0.72%) 상승한 8,822,000원에 거래되고 있고, 코인원에서는 79,000원(0.90%) 상승한 8,829,000원에 거래되고 있으며, 업비트에서는 64,000원(0.73%) 상승한 8,822,000원에 거래되고 있다.... "
8,"<b>비트코인</b>, 923만원까지 오르며 2개월 만에 최고치 기록","Tue, 24 Jul 2018 20:10:00 +0900",http://www.newspim.com/news/view/20180724000643,[서울=뉴스핌] 김선미 기자 =<U+00A0><b>비트코인</b> 가격이 24일 8000달러를 넘어서며 2개월 만에 최고치를 기록했다. 미국 금융당국이 <b>비트코인</b> ETF(지수연동형펀드)를 곧 승인할 것이란 소식과 세계 최대 규모의... 
9,"[가상화폐 시세] 암호화폐 혼조세, <b>비트코인</b>은 5%대 상승","Tue, 24 Jul 2018 09:29:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=417&aid=0000331278,사진=머니S DB 가상화폐(암호화폐)는 24일 오전 9시 기준으로 <b>비트코인</b>을 제외하고 혼조세를 나타냈다. 이날 암호화폐거래소 코인원에 따르면 암호화폐 대장격인 <b>비트코인</b>의 시세는 전날 같은 시간대... 
10,"<b>비트코인</b>, 두 달여 만에 900만원대 회복","Tue, 24 Jul 2018 18:03:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0003984730,'G20 회의' 규제 없이 끝난 탓 [ 윤희은 기자 ] <b>비트코인</b> 가격이 두 달여 만에 900만원대에 재진입했다. 가상화폐와 관련한 강력한 규제안을 내놓을 것으로 전망됐던 주요 20개국(G20) 재무장관 및 중앙은행 총재 회의가... 
