,title,pubDate,link,,description
477,업비트 <b>비트코인</b> 일제히 가격 급득 네티즌 서민 희망고문? 네티즌 &quot;보물선 이...,"Thu, 19 Jul 2018 06:21:00 +0900",http://daily.hankooki.com/lpage/ittech/201807/dh20180719061527138240.htm,http://daily.hankooki.com/lpag,"암호화폐 <b>비트코인</b>이 17일 상승세를 보이고 있어 네티즌들이 관심을 보이고 있다. 업비트, 빗썸 등 국내 대형 암호화폐 거래소에서는 17일부터 일부 암호화폐의 가격이 급등하는 현상이 나타났다. 특히 이날 업비트에서는... "
1246,"퓨즈엑스, <b>비트코인</b>닷컴과 <b>비트코인</b>캐시 결제 카드 선봬","Mon, 23 Jul 2018 16:42:00 +0900",http://it.chosun.com/site/data/html_dir/2018/07/23/2018072302196.html,http://it.chosun.com/site/data,<b>비트코인</b>닷컴 홍보모델이 퓨즈엑스 카드를 소개하고 있다. / 유튜브 화면 갈무리. 글로벌 암호화폐 결제 카드 프로젝트 퓨즈엑스(FuzeX)가 <b>비트코인</b>캐시(BCH)를 지지하는 <b>비트코인</b>닷컴과 파트너십을 맺고 퓨즈엑스 카드에... 
775,관련기관 호재발표에 '덜썩'..<b>비트코인</b> 10% 이상 급등,"Wed, 18 Jul 2018 10:43:00 +0900",http://kpenews.com/Board.aspx?BoardNo=16448,http://kpenews.com/Board.aspx?,[한국정경신문=문유덕 기자] <b>비트코인</b>이 관련기관들로 부터 호재가 나오면서 급등세를 보였다. CNBC에 따르면 미국 최대 가상화폐 거래소인 코인베이스에서 <b>비트코인</b>은 17일(현지시간) 오후 2시 현재 10% 이상 상승한... 
1307,“<b>비트코인</b>이 경제적 자유 줬다”..제이슨 쑤 “정부가 국민에 권한 부여해야...,"Mon, 23 Jul 2018 18:29:00 +0900",http://kpenews.com/Board.aspx?BoardNo=16689,http://kpenews.com/Board.aspx?,이어 <b>비트코인</b>닷컴 로저 버(Roger Ver) CEO는 ‘글로벌 경제 자유를 위한 디지털 화폐’를 테마로 경제적 자유에 대한 주장을 내놨다. <U+00A0><U+00A0><U+00A0> 로저 버는 “디지털 화폐는 투자자와 거래자를 불러 모은다”며... 
767,"<b>비트코인</b>, 김치프리미엄 사라지니 반토막도 안되는 <b>비트코인</b>","Wed, 18 Jul 2018 22:53:00 +0900",http://leaders.asiae.co.kr/news/articleView.html?idxno=70489,http://leaders.asiae.co.kr/new,[일간리더스경제신문=박민수 기자] 가상화폐 시세가 대부분 종목이 상승세를 보이고 있는 가운데 <b>비트코인</b> 시세는 800만원 초반을 간신히 유지하고 있다. 가상화폐 거래소 빗썸에 따르면 7월 18일 오후... 
436,"디지털 커런시 그룹, <b>비트코인</b> 올해 저점…다른 암호화폐 가치 없어","Thu, 19 Jul 2018 08:36:00 +0900",http://news.einfomax.co.kr/news/articleView.html?idxno=3458821,http://news.einfomax.co.kr/new,"(서울=연합인포맥스) 이종혁 기자 = 디지털 커런시 그룹은 <b>비트코인</b>에 대해 낙관하지만, 다른 암호화 화폐에 대해서는 비관했다고 마켓워치가 19일 보도했다. 베리 실버트 디지털 커런시 그룹의 최고경영자(CEO)는 CNBC가... "
729,[가상화폐 시황] <b>비트코인</b> 한달만에 800만원대…골드만삭스·블랙록發 훈풍,"Wed, 18 Jul 2018 09:38:00 +0900",http://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2018071809214371117,http://news.mtn.co.kr/newscent,"<b>비트코인</b> 등 가상화폐가 일제히 급등세다. <b>비트코인</b>은 한달만에 800만원 대에 올라섰다. 골드만삭스, 블랙록, IBM 등 글로벌 금융사와 기업들에서 가상화폐 연구팀 개설 등 호재가 몰렸기 때문이다. 18일 가상화폐... "
245,미국발 호재에 '<b>비트코인</b> 술렁'…투자 과열 우려도,"Fri, 20 Jul 2018 17:54:00 +0900",http://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2018072014345323165,http://news.mtn.co.kr/newscent,최근 일주일 간 <b>비트코인</b> 시세 추이/자료=코인데스크최근 <b>비트코인</b> 가격이 급등하며 거래량이 대폭 상승했다. 미국발 호재가 긍정적인 영향을 미친 것으로 분석되는 상황. 일부 거래소에서는 거래량이 가파르게 늘자... 
554,"[가상화폐 뉴스] 07월 18일 00시 00분 <b>비트코인</b>(1.84%), <b>비트코인</b> 캐시(2.36%...","Wed, 18 Jul 2018 00:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662143,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 136,000원(1.84%) 상승한 7... "
585,"[가상화폐 뉴스] 07월 18일 10시 00분 <b>비트코인</b>(8.88%), 이오스(10.4%), 오미...","Wed, 18 Jul 2018 10:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662260,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 664,000원(8.88%) 상승한... "
824,"[가상화폐 뉴스] 07월 18일 11시 00분 <b>비트코인</b>(9.01%), 이오스(11.04%), 오미...","Wed, 18 Jul 2018 11:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662291,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 673,000원(9.01%) 상승한... "
814,"[가상화폐 뉴스] 07월 18일 11시 30분 <b>비트코인</b>(8.96%), 이오스(11.21%), 오미...","Wed, 18 Jul 2018 11:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662303,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 671,000원(8.96%) 상승한... "
769,"[가상화폐 뉴스] 07월 18일 13시 00분 <b>비트코인</b>(10.11%), 이오스(12.58%), 오...","Wed, 18 Jul 2018 13:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662314,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 758,000원(10.11... "
