id,sex,birth,age1,age,area,edu,income,k2,k3,k4,k6,k7,k8,k10,k12,k13,k14,ideo_self
6,1,1956,60,6,1,2,2,1,0,,,,0,,1,0,0,5
8,1,1951,65,6,1,3,1,1,0,1,1,,1,0,0,1,1,8
13,1,1952,64,6,1,2,1,1,1,0,1,1,1,0,0,0,0,10
24,1,1949,67,6,1,4,1,1,,0,1,1,1,0,0,1,1,8
30,1,1954,62,6,1,2,2,,1,1,1,,,,0,0,,3
35,1,1956,60,6,1,5,14,,,,,,,,,,,3
36,1,1954,62,6,1,2,1,,1,1,1,,1,0,0,0,1,5
46,1,1952,64,6,1,2,3,,,1,1,0,1,1,1,,0,6
50,1,1954,62,6,1,5,1,1,1,0,1,1,1,0,0,0,0,8
55,1,1949,67,6,1,3,1,1,0,1,1,0,1,,0,1,1,9
61,1,1949,67,6,1,4,1,1,0,1,1,,1,0,0,0,1,7
76,1,1953,63,6,1,4,1,1,0,1,1,1,1,1,0,1,1,8
81,1,1955,61,6,1,4,1,1,0,1,1,0,1,0,0,1,1,6
86,1,1950,66,6,1,4,1,1,0,1,1,0,0,0,0,1,1,9
88,1,1956,60,6,1,5,1,1,1,1,1,,,0,0,0,1,5
92,1,1954,62,6,1,4,1,1,0,1,1,0,1,0,1,1,1,8
97,1,1955,61,6,1,4,1,1,,1,1,,,0,0,1,0,6
107,1,1956,60,6,1,4,1,1,0,1,1,1,1,1,1,1,1,10
111,1,1955,61,6,1,2,2,0,1,1,1,0,0,0,0,0,1,5
113,1,1956,60,6,1,4,1,1,1,1,1,0,0,0,0,0,1,5
118,1,1950,66,6,1,2,1,0,0,1,1,0,1,0,0,1,0,10
125,1,1956,60,6,1,4,1,1,0,1,1,0,1,0,0,1,1,7
134,1,1955,61,6,1,3,1,0,1,0,0,1,0,0,1,0,0,5
140,1,1954,62,6,1,4,2,1,0,1,0,0,1,1,1,0,1,5
171,1,1955,61,6,1,4,3,1,0,1,1,1,1,0,0,1,1,5
177,1,1956,60,6,1,2,1,1,0,1,1,0,0,0,0,1,1,9
182,1,1955,61,6,1,3,1,1,,,1,0,1,,0,,1,5
232,1,1951,65,6,1,4,1,1,1,1,1,0,1,1,0,0,1,5
255,1,1956,60,6,1,4,1,1,0,1,1,0,1,0,0,0,1,7
281,1,1956,60,6,1,2,1,1,0,1,1,1,1,0,0,1,0,4
285,1,1950,66,6,1,5,8,0,1,0,1,0,0,0,1,0,1,8
289,1,1956,60,6,1,4,1,1,0,1,1,,1,0,0,1,1,7
300,1,1956,60,6,1,5,1,1,0,1,1,1,0,0,0,1,1,6
339,1,1956,60,6,1,3,1,0,1,0,,0,0,1,0,0,1,3
357,1,1955,61,6,1,2,2,,0,0,0,0,0,1,1,0,1,6
415,1,1952,64,6,1,5,1,1,0,1,1,1,,0,0,1,1,10
417,1,1956,60,6,1,5,1,1,0,1,1,0,1,0,0,1,1,7
432,1,1954,62,6,1,5,1,1,0,1,,1,1,0,0,0,1,8
441,1,1953,63,6,1,5,1,1,1,1,1,0,1,0,0,1,1,4
447,1,1956,60,6,1,2,2,1,1,0,1,0,0,,,0,1,5
454,1,1951,65,6,1,4,1,1,0,1,1,1,1,0,0,1,0,8
457,1,1955,61,6,1,4,1,1,0,1,1,1,1,0,0,1,1,10
489,1,1954,62,6,1,1,1,1,0,1,1,0,1,0,1,0,1,4
493,1,1952,64,6,1,4,1,1,0,1,1,1,1,0,1,1,1,6
515,1,1956,60,6,1,4,1,1,0,1,1,0,1,0,0,0,1,7
534,1,1954,62,6,1,4,1,1,1,0,1,1,1,,0,,1,3
547,1,1952,64,6,1,1,1,1,1,0,,0,1,1,1,1,0,10
568,1,1956,60,6,1,3,1,1,,1,1,0,,0,0,0,1,6
601,1,1954,62,6,1,2,1,1,0,1,1,1,1,0,0,1,1,7
607,1,1951,65,6,1,5,1,1,0,1,1,1,1,1,1,1,1,5
611,1,1950,66,6,1,2,1,1,0,1,1,0,1,0,0,1,1,9
623,1,1955,61,6,1,4,1,1,0,0,1,0,1,0,0,1,1,7
629,1,1949,67,6,1,1,1,0,0,0,1,0,1,0,0,0,0,5
643,1,1956,60,6,1,3,1,1,0,1,1,,,0,0,1,1,9
655,1,1956,60,6,1,3,1,1,0,1,1,0,1,0,0,0,1,7
665,1,1955,61,6,1,4,3,1,0,1,1,1,1,0,0,1,1,9
669,1,1951,65,6,1,4,8,1,0,1,1,1,1,0,0,1,1,8
679,1,1954,62,6,1,4,1,1,0,0,1,0,0,0,0,0,1,1
703,1,1954,62,6,1,4,1,1,0,1,0,0,1,1,0,0,1,2
727,1,1952,64,6,1,2,3,1,0,1,1,,0,0,1,1,1,8
731,1,1953,63,6,1,2,1,1,0,1,,1,0,,0,0,1,8
735,1,1951,65,6,1,2,1,1,0,1,1,,1,0,0,1,1,8
755,1,1955,61,6,1,2,2,,0,1,1,,,,0,1,1,5
762,1,1952,64,6,1,4,1,1,0,1,1,1,1,0,0,1,1,8
783,1,1956,60,6,1,2,2,1,0,1,1,0,0,0,0,1,1,8
9,2,1955,61,6,1,1,1,1,0,1,0,0,0,1,0,0,1,5
12,2,1954,62,6,1,2,2,0,1,0,1,0,0,,,0,1,1
29,2,1956,60,6,1,2,1,1,,,,,1,0,1,0,1,10
42,2,1955,61,6,1,4,1,1,,0,1,0,1,0,0,1,1,8
43,2,1949,67,6,1,2,1,1,0,1,,,1,,0,,,10
54,2,1954,62,6,1,2,1,1,,,1,,0,,0,1,1,6
85,2,1949,67,6,1,2,1,1,0,1,1,1,0,0,0,0,1,5
100,2,1956,60,6,1,4,1,0,0,0,,0,0,1,1,0,1,2
120,2,1954,62,6,1,2,1,,1,,1,0,0,,0,0,,6
129,2,1955,61,6,1,2,1,1,1,1,1,,0,0,0,1,,10
131,2,1956,60,6,1,2,3,1,1,,1,,1,1,1,1,1,5
144,2,1956,60,6,1,4,1,1,1,,0,0,1,,,0,1,4
152,2,1948,68,6,1,2,7,0,1,0,1,0,0,1,1,0,0,4
156,2,1948,68,6,1,4,1,1,,,1,,0,1,1,0,,5
168,2,1953,63,6,1,2,1,1,0,1,1,1,1,0,0,1,1,7
186,2,1954,62,6,1,1,4,1,,,,,1,1,,1,1,6
202,2,1954,62,6,1,2,1,0,1,1,1,0,0,0,0,0,1,4
294,2,1945,71,6,1,1,1,1,,1,1,0,1,1,0,,1,4
465,2,1952,64,6,1,4,4,0,1,0,1,0,0,1,1,0,1,5
491,2,1955,61,6,1,2,1,,0,,0,,1,0,1,0,1,7
575,2,1952,64,6,1,4,1,1,1,0,1,0,0,1,0,0,0,0
579,2,1953,63,6,1,2,1,1,,,,0,,,1,0,,5
581,2,1955,61,6,1,4,1,1,1,1,1,,0,0,0,,0,4
686,2,1955,61,6,1,2,1,1,0,1,1,1,1,0,0,1,1,10
715,2,1956,60,6,1,4,1,1,0,1,1,1,1,0,0,1,1,8
758,2,1956,60,6,1,2,1,1,0,1,1,0,1,0,0,1,1,8
892,2,1940,76,6,1,5,1,,,,,,,,,,,7
329,1,1957,59,5,1,4,1,1,0,,,1,0,,0,0,1,6
499,1,1957,59,5,1,5,1,1,0,1,1,1,1,1,0,1,1,10
517,1,1957,59,5,1,4,1,1,1,1,1,0,1,0,0,0,1,6
538,1,1966,50,5,1,3,1,1,1,1,1,1,1,,1,1,1,7
548,1,1957,59,5,1,4,1,1,0,1,1,1,1,0,0,1,0,5
602,1,1957,59,5,1,4,1,1,1,1,1,,,0,0,,1,7
613,1,1957,59,5,1,4,1,1,0,1,1,,,0,0,1,1,6
622,1,1957,59,5,1,2,1,0,1,0,1,0,0,1,1,0,1,1
683,1,1957,59,5,1,4,1,1,1,1,1,0,1,1,0,0,1,6
685,1,1960,56,5,1,5,1,1,0,1,1,1,1,0,0,1,0,5
697,1,1965,51,5,1,5,1,0,1,0,1,0,0,1,1,0,1,5
698,1,1960,56,5,1,4,5,0,1,0,1,0,0,1,1,0,1,2
704,1,1966,50,5,1,4,1,0,1,1,0,0,1,0,0,0,1,1
725,1,1957,59,5,1,4,4,1,1,1,1,0,0,,0,0,0,6
747,1,1957,59,5,1,5,1,1,0,1,1,1,1,0,1,1,1,8
