,legi1,legi2,legi5,legi8,legi9,legi11,legi12,legi13,legi15,legi16,legi17,legi18,legi19,legi20,legi23,legi24,legi26,legi27,legi30,legi31,legi33,legi35,legi36,legi37,legi38,legi40,legi41,legi42,legi43,legi46,legi50,legi51,legi57,legi60,legi62,legi64,legi67,legi71,legi72,legi73,legi74,legi79,legi80,legi81,legi83,legi84,legi85,legi87,legi89,legi92,legi94,legi95,legi101,legi106,legi107,legi111,legi112,legi113,legi114,legi116,legi118,legi119,legi120,legi126,legi128,legi131,legi132,legi133,legi134,legi135,legi137,legi139,legi141,legi144,legi145,legi147,legi149,legi150,legi151,legi152,legi153,legi155,legi156,legi158,legi159,legi160,legi161,legi168,legi171,legi175,legi177,legi179,legi180,legi183,legi186,legi188,legi189,legi190,legi192,legi195,legi196,legi199,legi200,legi203,legi206,legi207,legi209,legi210,legi213,legi214,legi219,legi220,legi223,legi225,legi227,legi228,legi229,legi233,legi235,legi236,legi239,legi241,legi242,legi244,legi246,legi248,legi256,legi259,legi260,legi261,legi266,legi267,legi269,legi271,legi274,legi278,legi280,legi284,legi285,legi288,legi301,party
legi1,118,2,4,11,1,7,2,8,1,1,1,1,1,4,10,2,5,18,7,15,1,1,2,3,8,14,7,2,1,19,6,18,19,2,5,2,6,6,1,4,1,2,1,1,7,4,6,1,20,1,1,2,2,1,2,4,3,2,2,3,1,3,1,7,2,2,2,3,2,2,1,15,2,1,2,0,2,1,2,21,1,1,2,15,6,1,21,3,2,2,3,3,2,3,12,2,3,4,4,1,2,1,13,1,4,10,3,1,1,20,1,34,3,1,22,1,4,2,1,1,24,1,1,5,1,10,2,1,7,1,2,2,7,21,1,1,3,2,5,3,9,바른정당
legi2,2,479,47,7,64,0,159,1,9,61,32,140,73,34,0,18,2,2,0,2,81,127,26,33,1,0,0,56,11,2,1,0,3,97,0,97,0,0,17,142,41,180,89,45,2,50,91,70,5,109,94,133,27,41,2,128,182,103,18,15,104,1,94,150,146,164,12,74,19,102,44,1,36,13,202,42,1,87,66,3,9,43,123,2,1,9,0,137,0,104,0,1,1,23,0,59,151,40,31,12,15,27,1,10,0,0,1,82,30,1,107,3,116,14,2,27,3,54,119,10,1,83,59,6,24,104,78,65,4,137,27,42,0,4,20,30,30,90,0,59,57,더불어민주당
legi5,4,47,651,1,43,2,58,7,17,44,21,72,31,67,1,76,4,3,1,2,39,77,24,55,2,4,1,41,13,3,3,7,4,179,1,54,0,0,15,146,29,141,47,59,3,65,165,40,1,89,65,60,13,26,1,87,187,94,59,58,92,1,102,141,43,168,27,40,25,44,42,5,22,32,113,30,2,87,32,3,7,32,65,2,2,18,2,142,2,65,1,1,2,148,2,38,121,104,92,23,13,33,2,51,1,1,1,53,97,3,125,6,49,17,3,35,1,121,76,37,3,51,37,1,74,100,89,40,6,42,17,67,2,12,12,54,165,23,1,41,190,더불어민주당
legi8,11,7,1,333,1,28,0,83,0,0,0,1,0,2,38,5,34,54,36,20,0,0,1,8,24,50,53,1,1,55,29,41,35,0,20,0,33,25,1,3,0,3,5,0,20,2,1,4,53,0,0,2,10,2,20,10,3,6,3,2,1,63,0,5,3,1,1,1,3,7,0,30,1,0,0,0,22,4,1,25,0,4,5,30,33,1,19,5,32,0,20,20,4,11,45,0,7,3,5,0,0,0,31,2,26,23,14,0,0,28,6,42,12,7,27,0,17,1,4,2,19,0,0,42,1,21,1,0,96,0,1,1,24,21,1,1,2,0,24,2,20,자유한국당
legi9,1,64,43,1,440,0,52,1,12,47,38,96,27,31,0,17,3,2,2,1,76,105,20,29,5,0,0,64,12,3,0,2,3,96,1,50,0,1,32,67,26,127,50,38,3,41,94,27,1,105,51,99,19,29,0,64,101,54,13,13,63,2,90,73,45,69,9,42,12,46,33,4,27,28,97,28,1,123,51,1,8,41,66,0,4,15,0,67,0,61,0,0,1,22,0,85,82,31,52,8,19,24,1,22,3,0,0,54,45,1,168,0,58,7,1,24,1,47,67,22,0,34,52,0,18,64,60,53,4,93,19,43,0,4,16,18,29,44,0,43,68,더불어민주당
legi11,7,0,2,28,0,114,0,24,0,0,0,0,0,2,31,1,20,25,31,12,0,4,9,2,31,39,22,1,0,20,28,18,16,3,14,1,13,21,0,1,0,2,0,0,20,1,0,0,22,4,0,3,1,2,19,3,2,1,1,3,2,19,3,2,3,0,0,1,2,3,0,20,3,0,2,0,16,0,1,10,0,1,1,11,36,0,13,3,26,0,16,15,10,3,25,2,6,3,2,0,1,0,26,0,21,19,23,0,0,13,2,29,3,1,20,1,16,3,1,1,6,1,0,36,2,6,1,0,53,0,1,0,16,14,0,3,6,0,39,1,10,자유한국당
legi12,2,159,58,0,52,0,565,1,9,46,44,179,55,39,0,31,2,1,0,1,67,128,37,51,1,3,0,72,14,3,0,3,2,138,0,80,0,0,12,133,41,167,90,79,5,117,99,75,2,81,112,119,27,38,1,113,188,120,21,13,121,1,97,168,114,171,12,66,19,72,36,4,35,29,199,47,1,73,50,2,9,117,111,0,1,21,0,131,1,117,1,0,0,28,9,43,125,46,37,15,17,29,2,14,0,1,1,63,24,4,87,0,116,10,3,29,1,135,93,15,4,59,57,0,32,123,68,131,4,105,29,44,3,5,13,33,44,105,0,54,69,더불어민주당
legi13,8,1,7,83,1,24,1,334,1,1,1,1,1,2,21,3,37,78,58,15,2,1,2,5,24,35,25,2,1,25,26,28,25,9,13,1,16,20,2,6,1,5,9,1,14,3,6,5,39,1,1,3,3,3,25,4,5,5,5,4,3,72,2,5,3,3,2,2,2,4,1,24,2,3,1,1,20,1,2,42,1,5,2,22,45,1,17,11,39,2,22,18,36,4,33,1,9,13,4,1,1,1,46,3,44,15,23,1,1,21,6,69,2,1,34,1,29,3,2,2,5,1,1,39,1,7,2,1,91,1,2,2,20,24,1,1,8,1,23,2,20,자유한국당
legi15,1,9,17,0,12,0,9,1,198,7,7,16,10,93,0,89,1,1,0,1,8,12,8,118,2,0,0,8,40,2,0,0,3,15,1,11,0,0,3,11,7,10,11,8,2,18,21,10,0,13,8,8,8,12,0,13,19,13,45,55,16,0,11,14,7,16,58,8,79,9,7,2,8,106,7,11,1,10,8,1,29,9,13,0,1,74,0,14,1,9,0,0,1,76,0,9,11,14,119,41,7,12,0,56,0,0,0,11,12,2,41,2,9,39,1,5,0,20,8,60,1,8,8,0,68,24,7,10,3,8,8,8,1,1,7,79,77,10,0,10,94,국민의당
legi16,1,61,44,0,47,0,46,1,7,549,21,59,57,26,0,14,2,2,0,1,117,73,38,21,2,1,1,37,10,2,0,1,3,153,3,58,0,0,34,68,92,331,55,126,1,45,68,24,2,57,48,264,19,36,0,126,138,65,26,11,52,0,106,112,58,78,7,64,15,57,43,2,39,10,74,22,1,94,41,1,7,37,89,0,2,9,0,89,5,73,0,0,0,19,1,101,92,37,55,8,15,23,0,8,1,0,0,42,32,1,270,2,45,8,2,26,0,60,66,15,0,41,52,0,17,56,96,55,7,66,32,42,0,4,14,19,38,74,0,55,48,더불어민주당
