obs,time(UTC),latitude(degrees_north),longitude(degrees_east),ship_id_mmsi,navigational_status,speed_over_ground(kts),course_over_ground(deg),true_heading(deg),rate_of_turn(degrees minutes-1),position_accuracy
1,2011-08-01T08:34:00Z,5.30755,-152.0693,440055000,15,4.9,93.8,511,-128,0
2,2011-08-01T10:07:32Z,5.13352,-160.08553,440792000,3,5.3,101.7,511,-128,0
3,2011-08-01T10:13:54Z,21.49578,-161.30617,369565000,0,12.5,283.2,285,22,0
4,2011-08-01T10:13:54Z,30.68467,-164.639,257834000,0,15,276,274,-128,0
5,2011-08-01T10:14:30Z,20.31863,-155.43819,249731000,0,15.2,316,318,0,1
6,2011-08-01T11:47:12Z,32.58351,-169.00667,548840000,0,14.3,92.9,91,-3,1
7,2011-08-01T11:47:36Z,21.31005,-157.86816,367309120,0,0,69,511,-128,0
8,2011-08-01T11:48:38Z,21.31073,-157.87613,366375000,0,0,334,125,0,1
9,2011-08-01T11:49:16Z,30.85447,-153.33804,215453000,0,13.1,274,272,0,1
10,2011-08-01T11:49:16Z,24.60933,-155.48183,367010000,0,7.4,41,44,0,1
11,2011-08-01T13:21:28Z,23.98915,-177.50838,367311350,0,16.1,97,97,0,0
12,2011-08-01T18:19:58Z,30.93158,-155.01547,215453000,0,13.5,274,272,0,0
13,2011-08-01T19:53:26Z,30.06752,-176.87344,440259000,0,10.9,270,270,0,0
14,2011-08-01T19:53:42Z,30.92883,-167.45367,257834000,0,17.2,289,285,-128,0
15,2011-08-01T19:54:00Z,28.41803,-168.60542,636009881,0,12.1,115,117,0,0
16,2011-08-01T19:55:14Z,33.68643,-176.41364,354591000,0,17.9,86,88,0,0
17,2011-08-01T19:55:18Z,25.49267,-154.88316,367010000,0,8.4,21,22,0,1
18,2011-08-01T19:55:56Z,19.63817,-159.71167,355040000,0,14.1,281,281,0,0
19,2011-08-01T19:56:00Z,28.41513,-168.59848,636009881,0,12.1,114,116,0,0
20,2011-08-01T19:56:04Z,20.07151,-173.42867,416444000,8,10,90.4,92,0,0
21,2011-08-01T20:01:22Z,21.26883,-157.88847,366972620,0,8.6,238.3,511,-128,0
22,2011-08-01T20:01:46Z,5.52902,-156.10046,440612000,0,9.8,0,511,-128,1
23,2011-08-01T20:02:08Z,22.13355,-157.92561,247285800,0,11.1,45.3,48,0,0
24,2011-08-01T21:28:32Z,23.6954,-175.11415,367311350,0,16.2,98,97,0,0
25,2011-08-01T21:28:44Z,30.0725,-177.20493,440259000,0,10.8,274,273,0,0
26,2011-08-01T21:29:42Z,21.03248,-170.46281,353392000,0,20.1,283,284,0,0
27,2011-08-01T21:35:06Z,22.09942,-159.87222,369970083,0,12.2,56.8,511,-128,0
28,2011-08-01T21:35:06Z,19.725,-160.11017,355040000,0,13.9,284,288,0,0
29,2011-08-01T21:35:06Z,8.0359,-177.74866,370565000,0,11.6,114.6,115,0,0
30,2011-08-01T21:36:04Z,19.726,-160.11417,355040000,0,14.1,283,287,0,0
31,2011-08-01T21:38:04Z,5.88708,-156.70378,441062000,15,9.1,279.4,511,-128,0
32,2011-08-02T10:50:08Z,5.1632,-158.64606,440858000,0,5.4,89.3,511,-128,1
33,2011-08-02T10:52:08Z,17.49372,-165.79044,403508000,0,14.8,265,264,0,1
34,2011-08-02T10:52:24Z,12.26002,-160.74487,412917000,0,15.1,289.5,288,-127,0
35,2011-08-02T10:57:06Z,29.57843,-174.98547,256478000,0,12.8,98,99,5,0
36,2011-08-02T10:58:04Z,22.13755,-175.16296,353392000,0,20.1,284,285,0,1
37,2011-08-02T10:58:20Z,21.70878,-164.24835,636092101,0,16.7,284,511,-128,0
38,2011-08-02T10:59:56Z,31.229,-171.83217,257834000,0,15.4,272,269,-128,0
39,2011-08-02T11:00:08Z,31.229,-171.83318,257834000,0,15.4,272,269,-128,0
40,2011-08-02T11:00:20Z,22.73174,-175.54536,354793000,0,12.4,273.3,276,0,0
41,2011-08-02T11:00:28Z,10.91087,-176.55092,355514000,0,11.8,126,122,0,0
42,2011-08-02T11:00:28Z,23.68376,-176.66647,538002477,0,12.1,111.1,109,0,0
43,2011-08-02T11:00:32Z,22.73178,-175.54597,354793000,0,12.4,273.2,276,0,0
44,2011-08-02T11:00:40Z,31.99974,-156.42664,376265000,0,12.2,270.1,269,0,0
45,2011-08-02T09:07:46Z,5.13723,-160.24757,440935000,0,2.8,97.8,511,-128,0
46,2011-08-02T09:09:08Z,7.55972,-163.8255,355713000,0,11.7,108,110,0,1
47,2011-08-02T09:16:44Z,21.30999,-157.87096,367034960,0,0.1,296.5,511,-128,0
